idna_subject,checker_type,destination,source,tested_at,session_id
1.116.239.130,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.766742,eddcc95f412b1e5543383570
1.116.239.178,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.768576,eddcc95f412b1e5543383570
1.116.241.187,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.770381,eddcc95f412b1e5543383570
1.116.242.246,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.772364,eddcc95f412b1e5543383570
1.116.243.210,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.774303,eddcc95f412b1e5543383570
1.116.248.161,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.776238,eddcc95f412b1e5543383570
1.116.251.114,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.778158,eddcc95f412b1e5543383570
1.116.28.17,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.780106,eddcc95f412b1e5543383570
1.116.28.223,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.782338,eddcc95f412b1e5543383570
1.116.35.246,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.784364,eddcc95f412b1e5543383570
1.116.57.88,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.786345,eddcc95f412b1e5543383570
1.116.6.144,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.788454,eddcc95f412b1e5543383570
1.116.67.176,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.790454,eddcc95f412b1e5543383570
1.116.67.182,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.792858,eddcc95f412b1e5543383570
1.116.67.6,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.794896,eddcc95f412b1e5543383570
1.116.69.106,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.796941,eddcc95f412b1e5543383570
1.116.69.188,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.798968,eddcc95f412b1e5543383570
1.116.69.189,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.801371,eddcc95f412b1e5543383570
1.116.70.201,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.803599,eddcc95f412b1e5543383570
1.116.71.224,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.805914,eddcc95f412b1e5543383570
1.116.73.156,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.808103,eddcc95f412b1e5543383570
1.116.75.159,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.810241,eddcc95f412b1e5543383570
1.116.75.185,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.812654,eddcc95f412b1e5543383570
1.116.78.169,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.814902,eddcc95f412b1e5543383570
1.116.78.23,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.817270,eddcc95f412b1e5543383570
1.116.79.69,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.819459,eddcc95f412b1e5543383570
1.116.8.212,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.821980,eddcc95f412b1e5543383570
1.116.81.104,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.824277,eddcc95f412b1e5543383570
1.116.83.41,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.826739,eddcc95f412b1e5543383570
1.116.87.166,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.829350,eddcc95f412b1e5543383570
1.116.9.96,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.831782,eddcc95f412b1e5543383570
1.116.90.65,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.834153,eddcc95f412b1e5543383570
1.116.94.7,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.836550,eddcc95f412b1e5543383570
1.116.94.98,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.838959,eddcc95f412b1e5543383570
1.116.96.207,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.841421,eddcc95f412b1e5543383570
1.116.96.30,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.843818,eddcc95f412b1e5543383570
1.116.96.58,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.846438,eddcc95f412b1e5543383570
1.116.97.92,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.848915,eddcc95f412b1e5543383570
1.117.100.64,AVAILABILITY,domains.list,domains.list,2001-07-01 20:31:26.851393,eddcc95f412b1e5543383570
